trip_id,driver_id,rider_id,pickup_city,pickup_lat,pickup_lon,dropoff_lat,dropoff_lon,trip_start_time,trip_duration_min,distance_km,vehicle_type,status,base_fare,surge_multiplier,total_fare,tip_amount,driver_rating,rider_rating,payment_method,is_surge
TRP0000019,DRV00213,RDR001554,Phoenix,40.718653,-113.49082,33.845079,-82.920489,2023-05-27T17:56:00Z,74,7.91,Economy,No Show,89.43,2.76,136.67,13.1,3.3,2.9,Cash,False
TRP0000020,DRV00207,RDR000823,Dallas,33.31026,-77.96916,35.651953,-107.308932,2023-09-01T08:57:00Z,79,7.62,SUV,No Show,103.08,1.04,271.59,6.06,2.1,3.0,Card,False
TRP0000021,DRV00069,RDR000658,Phoenix,35.15536,-99.245227,38.164438,-109.542894,2023-04-19T13:47:00Z,58,15.37,Electric,In Progress,116.78,2.52,319.32,16.42,3.1,1.6,Wallet,False
TRP0000022,DRV00070,RDR000060,San Diego,34.389899,-78.616875,34.605814,-115.406762,2023-01-17T14:03:00Z,69,39.14,Motorbike,No Show,132.26,2.41,204.73,16.47,3.0,3.5,Card,True
TRP0000023,DRV00124,RDR001968,San Diego,39.963846,-91.590389,35.798079,-110.641887,2023-05-13T23:53:00Z,78,18.94,Economy,Completed,68.58,1.57,121.6,3.26,3.3,4.9,Cash,False
TRP0000024,DRV00106,RDR001771,New York,39.242429,-83.459227,33.071184,-76.981805,2023-11-28T05:38:00Z,54,13.82,Electric,Completed,78.45,1.45,173.9,18.86,3.9,3.8,Wallet,False
TRP0000025,DRV00193,RDR000956,New York,35.417161,-94.571295,37.988849,-91.698078,2023-01-04T16:42:00Z,60,42.65,Economy,No Show,40.04,2.12,87.59,5.65,3.7,2.9,Wallet,False
TRP0000026,DRV00167,RDR001951,San Jose,40.13899,-104.5544,34.199434,-83.553653,2023-01-30T19:25:00Z,35,43.14,Motorbike,No Show,99.45,2.36,242.91,13.11,5.0,2.0,Corporate,False
TRP0000027,DRV00199,RDR001172,San Antonio,39.528118,-102.557483,38.706954,-87.115685,2023-11-23T15:58:00Z,76,36.97,Electric,No Show,107.09,2.01,288.16,16.81,4.5,1.7,Card,False
TRP0000028,DRV00066,RDR000375,Dallas,40.575387,-77.518398,38.235477,-107.998592,2023-04-25T23:55:00Z,73,37.18,Motorbike,No Show,115.15,1.84,319.39,7.43,3.3,2.9,Card,False
TRP0000029,DRV00028,RDR001272,Los Angeles,33.569726,-77.975827,37.003819,-78.962601,2023-07-15T16:19:00Z,76,43.39,Electric,In Progress,88.31,1.11,239.19,2.75,1.8,2.6,Corporate,False
TRP0000030,DRV00162,RDR000999,Dallas,35.661036,-73.601183,35.507313,-115.389389,2023-08-20T08:13:00Z,25,43.19,Motorbike,Cancelled,117.5,2.15,154.73,15.7,4.1,1.5,Corporate,False
TRP0000031,DRV00207,RDR000078,Dallas,37.270261,-85.120342,40.600549,-77.859712,2023-09-29T06:01:00Z,63,21.74,SUV,Completed,59.35,2.25,88.89,13.87,2.4,1.5,Corporate,False
TRP0000032,DRV00086,RDR000596,San Diego,36.64741,-94.587021,37.192941,-98.485065,2023-12-18T04:21:00Z,7,3.73,Economy,In Progress,46.84,1.72,64.49,18.96,4.7,2.6,Cash,False
TRP0000033,DRV00068,RDR000347,Philadelphia,33.985296,-86.000046,39.337017,-101.116341,2023-11-24T08:49:00Z,4,10.95,Comfort,Completed,89.68,2.19,98.28,2.16,4.3,1.2,Card,False
TRP0000034,DRV00228,RDR001438,New York,34.225017,-86.716359,38.042491,-104.44976,2023-12-05T03:42:00Z,72,19.32,Economy,No Show,40.15,2.25,96.42,8.38,4.6,3.0,Card,False
TRP0000035,DRV00059,RDR000410,Philadelphia,39.223671,-80.582553,40.784958,-101.893517,2023-07-29T09:10:00Z,65,39.35,Premium,Completed,32.2,2.1,90.83,13.76,2.9,1.9,Card,True
TRP0000036,DRV00057,RDR001945,San Antonio,33.720661,-94.973259,38.788509,-113.441928,2023-05-12T20:14:00Z,87,41.84,Motorbike,In Progress,75.63,2.98,120.41,9.29,1.4,1.7,Card,False
TRP0000037,DRV00185,RDR000238,Dallas,33.759988,-83.88082,33.367113,-79.660057,2023-12-06T20:10:00Z,42,40.18,Premium,No Show,65.62,1.72,123.07,12.44,4.5,1.4,Wallet,False
TRP0000038,DRV00059,RDR000790,Philadelphia,38.519219,-96.478975,36.373919,-78.124425,2023-03-27T03:08:00Z,60,20.34,Premium,Completed,42.96,2.96,115.51,2.07,4.6,2.9,Corporate,False
TRP0000039,DRV00195,RDR001402,San Antonio,40.039602,-85.272461,40.134102,-96.261415,2023-09-07T03:56:00Z,80,39.07,Premium,In Progress,7.24,1.88,8.16,13.1,1.0,4.5,Cash,False
TRP0000040,DRV00266,RDR001356,San Diego,38.813216,-96.313165,38.309685,-89.1368,2023-03-18T17:57:00Z,81,26.39,Motorbike,Completed,17.0,1.02,48.77,10.11,2.9,3.0,Cash,True
TRP0000041,DRV00252,RDR000104,Phoenix,37.055435,-93.227699,36.029101,-81.230351,2023-02-10T14:28:00Z,44,16.37,Electric,In Progress,145.61,1.18,290.77,6.32,4.9,4.0,Card,True
TRP0000042,DRV00207,RDR001692,Dallas,33.727164,-90.810853,37.952529,-104.293092,2023-09-18T17:13:00Z,73,20.91,SUV,In Progress,83.72,2.9,144.56,1.09,1.9,2.8,Corporate,False
TRP0000043,DRV00232,RDR000700,San Jose,35.841112,-89.485247,39.399302,-93.353924,2023-07-11T22:06:00Z,86,6.14,Premium,Completed,35.6,2.79,70.66,16.44,4.0,2.6,Wallet,False
TRP0000044,DRV00097,RDR001689,San Diego,39.251363,-85.744544,33.862126,-99.348834,2023-11-21T21:37:00Z,52,6.48,Economy,Completed,34.69,2.54,65.95,13.17,4.8,1.5,Corporate,True
TRP0000045,DRV00272,RDR001718,Dallas,37.680966,-76.403311,39.248652,-77.041833,2023-12-21T18:11:00Z,72,36.94,SUV,Cancelled,140.49,1.21,325.24,12.12,2.3,4.5,Corporate,False
TRP0000046,DRV00141,RDR000928,San Antonio,39.438375,-111.7819,37.820196,-78.110342,2023-09-20T09:53:00Z,45,20.19,Premium,No Show,145.66,2.42,418.19,12.65,1.8,3.5,Wallet,False
TRP0000047,DRV00068,RDR000365,Philadelphia,37.031148,-86.755961,35.579051,-112.806764,2023-06-30T17:30:00Z,85,49.08,Comfort,In Progress,146.35,2.35,407.98,10.68,4.5,2.7,Card,True
TRP0000048,DRV00013,RDR000410,Phoenix,35.135826,-82.651051,40.868259,-87.247435,2023-03-16T01:44:00Z,8,19.35,Motorbike,No Show,101.53,1.41,211.42,7.17,2.8,3.5,Cash,False
TRP0000049,DRV00122,RDR000097,Philadelphia,40.411878,-100.560041,40.653616,-74.087978,2023-06-10T17:03:00Z,38,25.79,Electric,Completed,104.86,2.49,147.45,17.38,4.4,2.8,Cash,False
TRP0000050,DRV00280,RDR001975,Chicago,34.547982,-97.803328,40.867627,-114.648895,2023-03-30T23:32:00Z,27,37.05,Electric,Completed,117.09,1.75,217.44,11.13,1.5,3.3,Wallet,True
TRP0000051,DRV00170,RDR001902,Phoenix,35.58104,-115.711505,40.459055,-90.29761,2023-12-05T09:31:00Z,21,23.58,Premium,No Show,8.87,1.15,21.42,10.51,4.8,3.1,Cash,False
TRP0000052,DRV00279,RDR001810,Chicago,34.70683,-103.065242,35.886383,-108.169962,2023-11-13T16:30:00Z,13,27.08,Electric,Completed,54.36,1.23,91.98,4.81,3.6,4.7,Cash,True
TRP0000053,DRV00165,RDR001107,Dallas,38.791805,-116.888242,37.134943,-83.327755,2023-09-21T16:28:00Z,16,19.38,Premium,In Progress,59.72,1.09,167.01,3.85,3.1,4.8,Cash,True
TRP0000054,DRV00034,RDR001772,New York,38.483241,-80.395072,34.644637,-80.70631,2023-08-11T20:52:00Z,82,10.93,Economy,Completed,116.72,2.49,152.61,9.18,2.3,1.4,Card,False
TRP0000055,DRV00129,RDR001866,San Antonio,35.069184,-100.538533,38.041738,-98.513873,2023-01-09T12:43:00Z,75,28.13,Motorbike,Completed,123.78,2.07,282.57,12.37,4.0,3.3,Card,False
TRP0000056,DRV00258,RDR000178,Los Angeles,35.25214,-76.29891,36.051309,-81.004493,2023-01-16T15:10:00Z,89,5.75,Comfort,Cancelled,47.3,1.27,84.29,15.95,3.2,4.8,Cash,False
TRP0000057,DRV00192,RDR001137,Chicago,34.130991,-116.120209,37.581749,-100.266323,2023-10-08T02:19:00Z,3,47.89,Premium,Cancelled,84.37,2.5,236.83,6.88,2.7,3.6,Cash,False
TRP0000058,DRV00095,RDR000372,Houston,38.367823,-92.471831,33.435106,-84.203118,2023-10-09T14:41:00Z,34,11.43,Motorbike,Completed,31.57,1.58,35.82,1.96,3.9,2.9,Wallet,False
TRP0000059,DRV00066,RDR001269,Dallas,33.558471,-109.292564,36.88689,-103.224426,2023-12-04T09:44:00Z,32,33.73,Motorbike,Cancelled,17.71,2.13,30.62,6.33,2.7,1.0,Cash,False
TRP0000060,DRV00224,RDR001502,New York,35.652504,-96.402071,36.562864,-83.135487,2023-09-07T17:06:00Z,48,14.2,Electric,Cancelled,22.74,2.29,26.47,5.61,4.3,4.6,Cash,False
TRP0000061,DRV00040,RDR001294,Phoenix,33.249554,-91.814928,36.241076,-91.448366,2023-01-19T17:16:00Z,4,36.51,Premium,In Progress,127.89,2.31,165.91,7.85,4.6,3.4,Wallet,False
TRP0000062,DRV00238,RDR001029,Philadelphia,33.084733,-107.250364,40.712002,-73.816606,2023-12-17T05:48:00Z,13,25.31,Premium,Cancelled,61.33,1.89,83.3,18.97,3.6,4.9,Corporate,False
TRP0000063,DRV00021,RDR000542,San Jose,35.955481,-116.07362,34.654193,-77.152326,2023-07-04T12:30:00Z,64,11.33,SUV,In Progress,37.07,2.76,40.03,12.97,1.4,4.9,Wallet,False
TRP0000064,DRV00297,RDR000776,San Antonio,35.922374,-88.599855,39.683753,-94.75017,2023-07-12T07:33:00Z,24,27.45,Motorbike,In Progress,58.37,1.71,159.67,9.74,2.9,3.4,Cash,False
TRP0000065,DRV00085,RDR000434,Phoenix,34.201923,-110.918919,37.816162,-81.237022,2023-12-05T07:26:00Z,67,11.88,Electric,No Show,97.59,2.44,191.57,9.58,1.8,1.6,Corporate,True
TRP0000066,DRV00125,RDR000276,Philadelphia,38.036323,-116.236411,37.578154,-115.48396,2023-05-13T05:33:00Z,75,2.64,SUV,In Progress,90.08,2.2,191.62,0.37,3.9,3.6,Wallet,True
TRP0000067,DRV00111,RDR000350,Philadelphia,34.754911,-99.515492,34.141697,-91.780924,2023-04-04T19:42:00Z,62,22.74,Economy,No Show,130.49,1.34,309.42,18.45,3.4,1.3,Corporate,False
TRP0000068,DRV00068,RDR001863,Philadelphia,37.034876,-99.109224,34.19649,-113.666564,2023-09-01T19:38:00Z,27,5.87,Comfort,Completed,79.84,2.76,164.7,15.05,1.4,3.6,Card,False
TRP0000069,DRV00268,RDR000879,San Antonio,34.83589,-81.896491,39.316445,-100.844358,2023-10-29T23:58:00Z,7,21.32,Electric,Completed,105.55,1.85,159.28,15.32,4.6,1.3,Corporate,False
TRP0000070,DRV00097,RDR000242,San Diego,37.158095,-101.123655,34.64335,-81.807078,2023-07-29T11:06:00Z,2,0.77,Economy,Cancelled,87.96,1.85,190.94,5.23,3.1,3.3,Wallet,False
TRP0000071,DRV00105,RDR000759,Phoenix,37.472751,-96.230793,40.908066,-92.005698,2023-12-28T12:47:00Z,73,20.95,Motorbike,Cancelled,73.92,2.71,171.39,14.96,2.8,3.8,Cash,True
TRP0000072,DRV00110,RDR001258,Los Angeles,38.576459,-86.194453,34.285904,-74.594339,2023-01-03T02:52:00Z,45,25.66,SUV,Cancelled,120.73,1.94,265.67,1.76,2.1,2.5,Card,False
TRP0000073,DRV00206,RDR001974,Phoenix,37.779781,-75.442786,39.56183,-89.186891,2023-08-13T00:12:00Z,68,30.89,Premium,No Show,45.11,1.39,115.84,10.21,3.8,3.5,Card,False
TRP0000074,DRV00123,RDR000566,Dallas,39.237383,-102.109255,36.161145,-91.626393,2023-09-23T00:47:00Z,22,32.92,Premium,Completed,15.77,2.84,33.1,14.52,3.2,3.3,Wallet,False
TRP0000075,DRV00116,RDR000828,Philadelphia,37.599254,-106.250162,36.257077,-113.209077,2023-02-07T16:18:00Z,26,30.51,Comfort,No Show,69.85,2.89,182.02,19.13,4.5,4.3,Wallet,False
TRP0000076,DRV00194,RDR001969,San Jose,39.20479,-87.32824,40.172191,-79.208952,2023-09-04T03:16:00Z,33,28.38,Motorbike,Completed,114.35,1.77,294.72,4.41,3.8,4.2,Corporate,False
TRP0000077,DRV00265,RDR000191,Philadelphia,36.191445,-84.304534,35.735943,-93.045182,2023-04-02T15:20:00Z,35,27.01,SUV,No Show,39.49,1.44,84.8,3.66,4.0,4.7,Cash,False
TRP0000078,DRV00103,RDR000424,New York,34.83366,-80.427678,39.690678,-101.978768,2023-02-24T03:58:00Z,32,12.13,SUV,Completed,131.29,2.35,305.49,12.28,4.1,3.2,Card,False
TRP0000079,DRV00191,RDR001805,Houston,40.175998,-78.905402,36.926443,-73.702239,2023-09-19T08:25:00Z,65,31.22,Comfort,Cancelled,135.02,2.5,169.65,10.51,2.7,4.8,Card,False
TRP0000080,DRV00202,RDR000247,New York,38.585957,-97.296823,38.513684,-117.468101,2023-04-18T12:37:00Z,24,43.09,Electric,Completed,70.21,1.65,156.26,5.19,3.2,1.9,Corporate,False
TRP0000081,DRV00188,RDR001436,Phoenix,39.017566,-101.571491,36.204741,-97.717195,2023-10-20T04:36:00Z,56,9.6,Motorbike,Cancelled,33.95,2.63,82.89,16.08,3.2,4.4,Cash,False
TRP0000082,DRV00077,RDR001024,Phoenix,34.075773,-77.802832,38.045216,-93.970784,2023-06-11T15:19:00Z,3,23.91,Economy,No Show,28.96,2.12,61.85,7.97,3.8,1.2,Wallet,False
TRP0000083,DRV00050,RDR000738,Los Angeles,37.4828,-76.066994,35.061719,-117.10741,2023-03-04T11:55:00Z,44,22.77,SUV,Cancelled,41.19,2.15,94.73,10.77,4.9,2.1,Wallet,False
TRP0000084,DRV00229,RDR000950,Philadelphia,38.053698,-111.481825,34.340604,-81.652729,2023-06-22T13:40:00Z,50,44.54,Comfort,In Progress,93.21,2.7,106.51,3.24,1.9,2.3,Wallet,False
TRP0000085,DRV00203,RDR001923,Dallas,35.905319,-91.58861,40.724208,-99.370492,2023-04-05T00:08:00Z,58,13.93,Electric,Cancelled,117.8,2.32,339.37,14.01,1.3,1.7,Card,True
TRP0000086,DRV00033,RDR000054,Dallas,39.16747,-94.420774,40.96811,-113.323222,2023-11-13T04:05:00Z,62,46.87,Comfort,In Progress,83.62,1.62,124.99,5.68,3.5,1.5,Cash,True
TRP0000087,DRV00018,RDR000957,Philadelphia,40.799852,-93.673713,35.179315,-97.981978,2023-12-24T17:11:00Z,43,33.35,SUV,In Progress,130.04,2.26,295.41,11.28,3.1,3.6,Wallet,False
TRP0000088,DRV00247,RDR000750,Dallas,36.29763,-110.992711,33.084447,-94.450769,2023-03-11T11:18:00Z,13,27.21,Premium,In Progress,67.95,2.07,161.42,9.84,4.0,2.2,Corporate,False
TRP0000089,DRV00119,RDR000844,Houston,40.057297,-98.330214,34.999169,-85.827791,2023-11-27T12:53:00Z,72,39.94,Electric,In Progress,57.93,1.44,67.11,12.51,3.1,4.2,Wallet,False
TRP0000090,DRV00273,RDR000141,Los Angeles,34.459257,-104.968212,38.095142,-90.202176,2023-05-20T22:39:00Z,54,40.54,Economy,In Progress,30.64,1.38,31.83,0.99,3.1,1.7,Card,False
TRP0000091,DRV00138,RDR000477,Houston,33.721576,-117.337382,34.737505,-99.089064,2023-09-13T11:29:00Z,58,6.69,Electric,Completed,109.88,1.66,295.26,19.03,1.2,4.1,Card,False
TRP0000092,DRV00093,RDR001697,San Antonio,33.100924,-74.143067,38.71746,-100.684095,2023-08-15T07:47:00Z,34,10.01,Premium,Completed,123.14,1.4,304.24,1.88,3.7,1.8,Corporate,False
TRP0000093,DRV00166,RDR001126,San Antonio,37.16741,-106.600927,38.10816,-109.057437,2023-01-27T21:13:00Z,7,8.35,Premium,Completed,112.47,1.47,210.13,0.3,4.2,3.3,Corporate,False
TRP0000094,DRV00005,RDR000974,San Jose,38.507252,-111.025363,39.166376,-106.807498,2023-09-13T02:43:00Z,76,48.46,Premium,No Show,118.17,2.86,353.79,12.5,1.2,3.6,Card,False
TRP0000095,DRV00250,RDR001550,Dallas,35.778542,-77.869182,38.865511,-117.039123,2023-07-13T11:46:00Z,73,12.02,SUV,Cancelled,118.92,1.5,128.31,14.13,3.2,3.2,Corporate,False
TRP0000096,DRV00291,RDR000960,Los Angeles,35.202596,-80.589268,40.315792,-93.046586,2023-02-05T16:09:00Z,46,9.74,Motorbike,In Progress,50.58,1.59,77.22,7.34,1.0,3.6,Corporate,False
TRP0000097,DRV00010,RDR000490,Dallas,35.565553,-115.149621,40.737305,-81.142762,2023-04-08T16:43:00Z,48,31.18,Electric,In Progress,117.07,2.53,153.16,5.66,2.6,2.3,Card,True
TRP0000098,DRV00023,RDR000065,Chicago,34.616632,-96.158337,33.790029,-92.304452,2023-07-18T21:31:00Z,18,41.84,SUV,No Show,29.26,1.1,42.18,14.36,1.1,4.7,Corporate,True
TRP0000099,DRV00240,RDR001523,San Diego,40.505951,-99.282106,35.952549,-86.12048,2023-11-12T08:33:00Z,9,40.15,SUV,Completed,56.06,2.47,149.62,1.56,1.9,3.1,Card,False
TRP0000100,DRV00273,RDR000510,Los Angeles,37.560221,-75.362349,37.467388,-92.883628,2023-02-24T20:36:00Z,26,19.57,Economy,No Show,80.35,2.35,193.25,8.54,1.4,4.2,Corporate,False
TRP0000101,DRV00081,RDR000722,Phoenix,40.21988,-93.24634,40.974803,-79.981569,2023-07-31T20:27:00Z,78,26.93,Motorbike,No Show,68.12,2.22,144.84,4.28,4.1,4.7,Wallet,False
TRP0000102,DRV00232,RDR000071,San Jose,40.863652,-91.190673,37.140875,-73.29646,2023-06-04T00:19:00Z,52,22.65,Premium,Cancelled,3.03,1.43,4.94,15.43,4.8,4.3,Cash,True
TRP0000103,DRV00020,RDR000752,Los Angeles,40.117003,-106.756439,35.049951,-104.486391,2023-10-20T12:36:00Z,21,23.29,Electric,Cancelled,23.35,2.47,57.14,15.86,1.7,4.3,Card,False
TRP0000104,DRV00020,RDR001598,Los Angeles,33.447382,-83.309432,35.783442,-81.228623,2023-08-02T03:55:00Z,75,36.67,Electric,Cancelled,59.09,2.5,159.48,18.57,3.5,3.5,Card,False
TRP0000105,DRV00269,RDR000670,Philadelphia,37.019213,-108.064127,33.404159,-85.078964,2023-07-21T14:48:00Z,71,2.54,Comfort,Completed,86.04,1.44,135.91,7.89,1.5,1.3,Card,False
TRP0000106,DRV00135,RDR001430,San Diego,34.043001,-111.930816,37.474369,-96.046251,2023-11-30T18:12:00Z,66,4.71,Electric,Cancelled,66.87,1.48,102.48,8.6,3.7,3.3,Card,False
TRP0000107,DRV00217,RDR001217,New York,38.243279,-83.364342,34.354042,-102.262762,2023-08-15T19:09:00Z,26,18.58,Premium,In Progress,50.15,1.09,132.21,3.99,2.5,4.0,Card,True
TRP0000108,DRV00028,RDR001780,Los Angeles,39.659558,-105.054171,35.746171,-81.807365,2023-06-06T14:30:00Z,81,12.53,Electric,Completed,139.23,1.66,345.29,4.24,3.2,4.0,Corporate,False
TRP0000109,DRV00010,RDR000524,Dallas,34.362557,-105.219391,39.313508,-90.191585,2023-01-28T14:41:00Z,86,19.14,Electric,Completed,80.44,1.13,186.68,13.26,4.7,2.4,Card,True
TRP0000110,DRV00150,RDR000780,Phoenix,37.068323,-86.064004,40.230976,-96.190203,2023-11-02T17:05:00Z,85,43.44,Premium,Cancelled,59.82,1.4,175.49,11.21,3.8,1.2,Wallet,False
TRP0000111,DRV00251,RDR001402,Los Angeles,35.815305,-89.864606,34.889638,-73.979008,2023-09-14T08:51:00Z,22,19.97,Electric,Completed,5.7,2.25,15.72,17.81,4.3,1.1,Wallet,False
TRP0000112,DRV00078,RDR000180,San Diego,38.839117,-94.567697,38.423959,-78.728434,2023-12-18T07:26:00Z,52,17.42,Premium,Cancelled,99.57,2.15,184.5,6.25,3.4,2.8,Cash,False
TRP0000113,DRV00071,RDR001767,San Jose,34.104877,-87.016056,40.189145,-77.069678,2023-08-09T04:41:00Z,89,29.26,Premium,Cancelled,120.62,1.63,255.07,18.97,1.5,2.3,Cash,True
TRP0000114,DRV00164,RDR000622,Chicago,36.544036,-75.980416,40.153041,-76.003749,2023-05-21T04:49:00Z,54,44.07,Premium,Cancelled,144.3,1.21,197.62,15.25,3.4,2.1,Cash,False
TRP0000115,DRV00119,RDR001598,Houston,36.812818,-95.395394,37.837694,-85.959139,2023-07-11T05:54:00Z,47,34.53,Electric,In Progress,14.68,1.98,18.72,3.87,1.1,4.1,Card,False
TRP0000116,DRV00212,RDR001552,New York,34.636497,-110.031481,40.637593,-98.232166,2023-11-12T15:44:00Z,87,11.52,Comfort,No Show,148.27,2.73,411.48,8.55,4.1,3.4,Corporate,False
TRP0000117,DRV00202,RDR001076,New York,38.131151,-86.314935,33.308096,-113.080767,2023-08-22T01:56:00Z,75,30.77,Electric,Cancelled,90.29,2.04,161.73,14.7,3.2,3.1,Card,False
TRP0000118,DRV00150,RDR000586,Phoenix,36.690777,-98.989202,37.905074,-115.5454,2023-09-22T04:29:00Z,40,22.26,Premium,In Progress,116.73,1.18,233.61,3.6,3.3,4.6,Cash,False
TRP0000119,DRV00212,RDR001209,New York,40.17294,-77.689229,40.060388,-113.941915,2023-06-15T22:41:00Z,5,16.51,Comfort,Cancelled,29.3,2.44,36.54,2.28,2.8,2.5,Corporate,False
TRP0000120,DRV00194,RDR001869,San Jose,35.681545,-78.791257,39.90138,-110.704416,2023-03-16T05:49:00Z,7,27.74,Motorbike,Completed,115.93,1.84,187.69,15.37,2.8,3.5,Card,False
TRP0000121,DRV00104,RDR001020,Phoenix,39.843288,-93.542448,33.046004,-78.278369,2023-05-02T06:37:00Z,34,0.67,SUV,In Progress,4.79,1.91,9.02,12.02,1.0,4.5,Wallet,False
TRP0000122,DRV00026,RDR000076,New York,34.162995,-116.540556,37.624742,-90.852154,2023-06-19T02:03:00Z,9,9.65,Electric,Completed,99.03,1.83,134.33,13.44,3.4,3.8,Cash,False
TRP0000123,DRV00297,RDR000613,San Antonio,35.582575,-77.61116,39.562118,-83.870111,2023-10-09T02:18:00Z,6,18.33,Motorbike,In Progress,16.69,1.27,39.88,5.49,3.1,3.1,Cash,True
TRP0000124,DRV00056,RDR000180,San Antonio,36.869304,-87.010557,40.471133,-73.61747,2023-05-28T13:38:00Z,82,28.78,Electric,No Show,80.76,1.52,173.66,12.46,4.7,3.5,Corporate,False
TRP0000125,DRV00253,RDR000595,San Antonio,40.834061,-117.928859,33.191894,-89.854267,2023-03-02T23:54:00Z,80,40.5,Economy,Cancelled,37.21,2.6,111.55,8.28,2.3,3.2,Cash,True
TRP0000126,DRV00104,RDR000631,Phoenix,35.402272,-93.250288,39.136261,-112.877346,2023-06-20T10:25:00Z,34,34.66,SUV,Completed,119.16,2.66,165.4,16.68,4.7,2.9,Corporate,True
TRP0000127,DRV00070,RDR001772,San Diego,37.29574,-102.920066,39.271912,-99.372112,2023-01-29T16:19:00Z,82,24.33,Motorbike,No Show,70.71,2.11,73.36,11.55,2.3,4.7,Wallet,True
TRP0000128,DRV00077,RDR000769,Phoenix,38.012087,-80.09174,37.567853,-100.469518,2023-11-01T03:55:00Z,5,14.38,Economy,No Show,52.86,2.41,86.11,0.63,2.7,3.0,Cash,False
