rating_id,trip_id,driver_id,rider_id,rating_by,rating_value,review_text,cleanliness_score,punctuality_score,communication_score,rating_timestamp
RTG000044,TRP0003209,DRV00034,RDR001015,driver,4.9,Review comment 44,1,1,5,2023-09-05T00:00:00Z
RTG000045,TRP0000585,DRV00173,RDR000635,driver,2.1,Review comment 45,5,2,2,2023-02-12T00:00:00Z
RTG000046,TRP0001906,DRV00066,RDR000497,driver,2.7,Review comment 46,1,2,4,2023-04-12T00:00:00Z
RTG000047,TRP0003504,DRV00075,RDR000491,rider,1.5,Review comment 47,5,4,5,2023-06-28T00:00:00Z
RTG000048,TRP0002569,DRV00165,RDR001114,driver,4.6,Review comment 48,5,1,4,2023-10-09T00:00:00Z
RTG000049,TRP0000247,DRV00232,RDR000700,driver,4.6,Review comment 49,4,4,2,2023-05-15T00:00:00Z
RTG000050,TRP0000508,DRV00104,RDR001846,driver,1.7,Review comment 50,2,1,4,2023-05-17T00:00:00Z
RTG000051,TRP0000118,DRV00150,RDR000586,rider,3.8,Review comment 51,4,2,5,2023-04-22T00:00:00Z
RTG000052,TRP0003932,DRV00285,RDR000460,rider,3.9,Review comment 52,3,4,3,2023-02-19T00:00:00Z
RTG000053,TRP0002755,DRV00017,RDR000871,rider,3.5,Review comment 53,5,4,1,2023-12-05T00:00:00Z
RTG000054,TRP0002889,DRV00181,RDR001347,rider,2.9,Review comment 54,5,1,3,2023-05-13T00:00:00Z
RTG000055,TRP0000640,DRV00048,RDR000281,driver,4.1,Review comment 55,1,4,1,2023-03-08T00:00:00Z
RTG000056,TRP0002021,DRV00148,RDR001311,driver,4.6,Review comment 56,2,1,4,2023-12-08T00:00:00Z
RTG000057,TRP0002108,DRV00123,RDR000787,driver,3.9,Review comment 57,5,4,5,2023-03-21T00:00:00Z
RTG000058,TRP0003143,DRV00098,RDR000688,driver,2.4,Review comment 58,1,2,1,2023-03-29T00:00:00Z
RTG000059,TRP0003821,DRV00207,RDR001739,rider,2.5,Review comment 59,3,5,2,2023-08-11T00:00:00Z
RTG000060,TRP0001726,DRV00072,RDR000924,rider,2.3,Review comment 60,5,4,4,2023-02-27T00:00:00Z
RTG000061,TRP0002253,DRV00189,RDR000622,rider,4.8,Review comment 61,2,5,3,2023-04-12T00:00:00Z
RTG000062,TRP0000023,DRV00124,RDR001968,rider,1.3,Review comment 62,3,5,3,2023-04-06T00:00:00Z
RTG000063,TRP0000640,DRV00048,RDR000281,rider,4.6,Review comment 63,5,2,1,2023-06-23T00:00:00Z
RTG000064,TRP0002448,DRV00030,RDR000012,rider,4.8,Review comment 64,3,1,5,2023-06-21T00:00:00Z
RTG000065,TRP0000173,DRV00106,RDR000705,driver,4.9,Review comment 65,5,4,2,2023-03-25T00:00:00Z
RTG000066,TRP0002082,DRV00217,RDR001969,rider,1.2,Review comment 66,5,5,1,2023-10-13T00:00:00Z
RTG000067,TRP0002844,DRV00067,RDR000889,driver,1.0,Review comment 67,5,5,5,2023-06-20T00:00:00Z
RTG000068,TRP0000199,DRV00211,RDR001733,rider,4.7,Review comment 68,2,5,5,2023-11-19T00:00:00Z
RTG000069,TRP0002507,DRV00092,RDR001569,rider,1.4,Review comment 69,2,2,1,2023-04-29T00:00:00Z
RTG000070,TRP0001636,DRV00281,RDR001880,rider,3.3,Review comment 70,1,2,2,2023-09-10T00:00:00Z
RTG000071,TRP0001131,DRV00109,RDR000998,driver,4.4,Review comment 71,2,4,5,2023-01-01T00:00:00Z
RTG000072,TRP0001846,DRV00167,RDR000322,rider,4.2,Review comment 72,5,1,4,2023-11-06T00:00:00Z
RTG000073,TRP0001021,DRV00282,RDR000053,driver,4.4,Review comment 73,4,5,4,2023-11-07T00:00:00Z
RTG000074,TRP0000010,DRV00163,RDR001903,rider,1.2,Review comment 74,2,1,5,2023-05-04T00:00:00Z
RTG000075,TRP0001814,DRV00145,RDR001653,rider,2.1,Review comment 75,4,1,1,2023-09-10T00:00:00Z
RTG000076,TRP0002356,DRV00127,RDR000677,rider,4.5,Review comment 76,3,5,2,2023-04-21T00:00:00Z
RTG000077,TRP0001354,DRV00160,RDR000003,rider,1.2,Review comment 77,4,2,1,2023-06-08T00:00:00Z
RTG000078,TRP0003496,DRV00296,RDR000633,driver,3.1,Review comment 78,1,3,3,2023-01-24T00:00:00Z
RTG000079,TRP0000437,DRV00268,RDR000121,driver,4.7,Review comment 79,3,2,1,2023-02-20T00:00:00Z
RTG000080,TRP0000428,DRV00252,RDR000080,rider,3.5,Review comment 80,4,4,1,2023-06-26T00:00:00Z
RTG000081,TRP0003624,DRV00124,RDR001148,rider,1.5,Review comment 81,1,1,4,2023-06-10T00:00:00Z
RTG000082,TRP0001005,DRV00016,RDR001058,driver,1.8,Review comment 82,3,2,2,2023-08-07T00:00:00Z
RTG000083,TRP0001517,DRV00023,RDR001019,rider,4.7,Review comment 83,4,3,3,2023-09-30T00:00:00Z
RTG000084,TRP0001085,DRV00291,RDR001317,rider,1.5,Review comment 84,5,2,4,2023-06-08T00:00:00Z
RTG000085,TRP0000752,DRV00254,RDR000879,driver,3.3,Review comment 85,3,5,3,2023-11-14T00:00:00Z
RTG000086,TRP0001633,DRV00122,RDR000998,rider,3.0,Review comment 86,3,4,3,2023-12-02T00:00:00Z
RTG000087,TRP0003233,DRV00100,RDR001912,driver,2.0,Review comment 87,4,2,5,2023-10-10T00:00:00Z
RTG000088,TRP0003840,DRV00162,RDR000256,rider,3.6,Review comment 88,1,4,1,2023-04-02T00:00:00Z
RTG000089,TRP0003910,DRV00240,RDR000999,driver,4.7,Review comment 89,2,3,2,2023-07-13T00:00:00Z
RTG000090,TRP0000531,DRV00157,RDR001432,rider,1.3,Review comment 90,3,1,4,2023-03-03T00:00:00Z
RTG000091,TRP0001721,DRV00187,RDR000497,rider,4.8,Review comment 91,2,1,4,2023-02-27T00:00:00Z
RTG000092,TRP0000346,DRV00196,RDR000311,driver,2.5,Review comment 92,4,3,2,2023-01-17T00:00:00Z
RTG000093,TRP0000374,DRV00025,RDR001409,driver,4.1,Review comment 93,1,3,3,2023-08-18T00:00:00Z
RTG000094,TRP0003019,DRV00114,RDR001893,rider,4.4,Review comment 94,3,2,1,2023-03-16T00:00:00Z
RTG000095,TRP0003139,DRV00113,RDR000130,driver,4.3,Review comment 95,4,4,5,2023-12-03T00:00:00Z
RTG000096,TRP0003773,DRV00185,RDR001548,rider,3.7,Review comment 96,2,3,3,2023-01-05T00:00:00Z
RTG000097,TRP0001149,DRV00111,RDR001552,rider,3.9,Review comment 97,2,2,3,2023-03-28T00:00:00Z
RTG000098,TRP0000107,DRV00217,RDR001217,rider,3.4,Review comment 98,3,1,1,2023-09-18T00:00:00Z
RTG000099,TRP0003284,DRV00253,RDR001198,driver,1.5,Review comment 99,5,4,5,2023-12-20T00:00:00Z
RTG000100,TRP0001665,DRV00183,RDR001941,driver,2.6,Review comment 100,2,4,2,2023-04-28T00:00:00Z
RTG000101,TRP0002915,DRV00151,RDR001552,rider,4.9,Review comment 101,2,2,3,2023-08-01T00:00:00Z
RTG000102,TRP0003379,DRV00193,RDR001845,rider,1.3,Review comment 102,2,4,3,2023-02-12T00:00:00Z
RTG000103,TRP0003663,DRV00255,RDR000962,driver,1.1,Review comment 103,3,3,1,2023-08-11T00:00:00Z
RTG000104,TRP0003772,DRV00043,RDR000611,rider,4.0,Review comment 104,4,4,2,2023-11-10T00:00:00Z
RTG000105,TRP0000282,DRV00122,RDR000123,driver,1.5,Review comment 105,4,5,2,2023-05-23T00:00:00Z
RTG000106,TRP0002357,DRV00222,RDR000482,driver,1.3,Review comment 106,3,4,3,2023-10-08T00:00:00Z
RTG000107,TRP0001850,DRV00033,RDR001949,rider,1.2,Review comment 107,5,3,2,2023-01-31T00:00:00Z
RTG000108,TRP0002043,DRV00077,RDR000824,driver,2.9,Review comment 108,3,4,3,2023-09-30T00:00:00Z
RTG000109,TRP0002774,DRV00131,RDR001257,rider,4.5,Review comment 109,4,1,3,2023-04-18T00:00:00Z
RTG000110,TRP0003105,DRV00166,RDR000261,rider,1.8,Review comment 110,4,2,1,2023-09-07T00:00:00Z
RTG000111,TRP0003986,DRV00140,RDR000806,driver,4.2,Review comment 111,1,4,4,2023-05-10T00:00:00Z
RTG000112,TRP0000925,DRV00230,RDR000241,rider,4.2,Review comment 112,2,1,5,2023-04-03T00:00:00Z
RTG000113,TRP0001883,DRV00029,RDR001977,rider,2.4,Review comment 113,4,4,2,2023-06-01T00:00:00Z
RTG000114,TRP0002724,DRV00015,RDR000686,driver,2.3,Review comment 114,2,1,4,2023-10-15T00:00:00Z
RTG000115,TRP0001205,DRV00235,RDR000357,rider,4.9,Review comment 115,4,3,4,2023-06-23T00:00:00Z
RTG000116,TRP0003021,DRV00165,RDR000663,driver,1.1,Review comment 116,5,1,3,2023-08-28T00:00:00Z
RTG000117,TRP0002987,DRV00205,RDR001175,driver,2.1,Review comment 117,1,3,4,2023-11-11T00:00:00Z
RTG000118,TRP0001757,DRV00204,RDR001947,rider,3.6,Review comment 118,2,5,2,2023-04-29T00:00:00Z
RTG000119,TRP0001127,DRV00162,RDR000787,rider,3.8,Review comment 119,2,1,5,2023-08-13T00:00:00Z
RTG000120,TRP0002158,DRV00130,RDR000974,driver,5.0,Review comment 120,2,2,3,2023-04-28T00:00:00Z
RTG000121,TRP0003504,DRV00075,RDR000491,driver,3.9,Review comment 121,2,1,2,2023-11-26T00:00:00Z
RTG000122,TRP0000639,DRV00299,RDR000638,driver,4.7,Review comment 122,4,5,4,2023-04-22T00:00:00Z
RTG000123,TRP0000673,DRV00189,RDR000119,driver,3.3,Review comment 123,5,5,4,2023-01-27T00:00:00Z
RTG000124,TRP0002501,DRV00239,RDR000599,rider,4.5,Review comment 124,5,3,4,2023-07-02T00:00:00Z
RTG000125,TRP0002240,DRV00289,RDR000505,driver,3.5,Review comment 125,5,2,3,2023-05-14T00:00:00Z
RTG000126,TRP0000978,DRV00048,RDR000521,rider,3.9,Review comment 126,1,1,5,2023-05-12T00:00:00Z
RTG000127,TRP0002762,DRV00167,RDR000056,rider,3.5,Review comment 127,3,1,4,2023-08-21T00:00:00Z
RTG000128,TRP0002425,DRV00251,RDR001391,rider,3.8,Review comment 128,4,1,3,2023-05-25T00:00:00Z
RTG000129,TRP0003352,DRV00159,RDR000911,driver,3.3,Review comment 129,3,1,3,2023-05-08T00:00:00Z
RTG000130,TRP0002802,DRV00206,RDR001273,driver,1.5,Review comment 130,2,4,1,2023-08-15T00:00:00Z
RTG000131,TRP0003343,DRV00108,RDR000877,driver,3.2,Review comment 131,4,2,4,2023-05-26T00:00:00Z
RTG000132,TRP0003869,DRV00206,RDR001695,rider,2.5,Review comment 132,3,5,4,2023-05-09T00:00:00Z
RTG000133,TRP0001695,DRV00249,RDR000986,driver,4.2,Review comment 133,1,3,4,2023-03-16T00:00:00Z
RTG000134,TRP0001182,DRV00173,RDR001563,driver,2.5,Review comment 134,4,3,3,2023-08-05T00:00:00Z
RTG000135,TRP0001153,DRV00098,RDR001205,rider,3.4,Review comment 135,5,5,5,2023-08-29T00:00:00Z
RTG000136,TRP0002812,DRV00264,RDR000183,rider,1.0,Review comment 136,4,1,1,2023-05-24T00:00:00Z
RTG000137,TRP0001628,DRV00093,RDR001873,driver,2.7,Review comment 137,3,2,2,2023-12-25T00:00:00Z
RTG000138,TRP0003782,DRV00092,RDR000104,driver,3.9,Review comment 138,2,3,4,2023-02-27T00:00:00Z
RTG000139,TRP0000801,DRV00183,RDR001108,rider,2.3,Review comment 139,1,4,3,2023-12-30T00:00:00Z
RTG000140,TRP0000107,DRV00217,RDR001217,rider,3.5,Review comment 140,1,4,1,2023-07-23T00:00:00Z
RTG000141,TRP0001771,DRV00128,RDR000611,rider,2.3,Review comment 141,5,5,1,2023-12-27T00:00:00Z
RTG000142,TRP0002683,DRV00256,RDR001499,rider,4.5,Review comment 142,1,1,3,2023-01-15T00:00:00Z
RTG000143,TRP0003600,DRV00214,RDR000456,rider,2.3,Review comment 143,5,1,4,2023-09-08T00:00:00Z
RTG000144,TRP0003695,DRV00038,RDR001950,rider,3.1,Review comment 144,2,5,5,2023-08-22T00:00:00Z
RTG000145,TRP0000008,DRV00291,RDR001714,driver,3.5,Review comment 145,5,2,3,2023-07-28T00:00:00Z
RTG000146,TRP0003484,DRV00273,RDR000355,rider,1.7,Review comment 146,4,1,2,2023-07-27T00:00:00Z
RTG000147,TRP0000286,DRV00219,RDR000313,rider,1.6,Review comment 147,5,4,3,2023-03-12T00:00:00Z
RTG000148,TRP0001299,DRV00014,RDR001859,driver,2.7,Review comment 148,5,4,3,2023-12-04T00:00:00Z
RTG000149,TRP0000741,DRV00224,RDR001372,driver,2.1,Review comment 149,4,5,4,2023-12-30T00:00:00Z
RTG000150,TRP0003210,DRV00014,RDR000492,driver,3.9,Review comment 150,2,3,3,2023-03-08T00:00:00Z
RTG000151,TRP0000411,DRV00294,RDR001967,driver,1.4,Review comment 151,5,1,4,2023-09-27T00:00:00Z
RTG000152,TRP0001093,DRV00164,RDR001362,driver,3.3,Review comment 152,2,4,2,2023-06-08T00:00:00Z
RTG000153,TRP0002839,DRV00062,RDR001653,driver,3.6,Review comment 153,3,5,1,2023-06-16T00:00:00Z
RTG000154,TRP0002854,DRV00085,RDR001366,rider,4.5,Review comment 154,3,3,5,2023-11-08T00:00:00Z
RTG000155,TRP0000225,DRV00060,RDR001429,driver,3.4,Review comment 155,3,1,1,2023-12-30T00:00:00Z
RTG000156,TRP0001046,DRV00153,RDR000908,rider,4.6,Review comment 156,1,1,5,2023-11-12T00:00:00Z
RTG000157,TRP0003005,DRV00010,RDR001916,driver,4.3,Review comment 157,2,4,5,2023-12-16T00:00:00Z
RTG000158,TRP0000071,DRV00105,RDR000759,driver,4.6,Review comment 158,3,4,1,2023-04-13T00:00:00Z
RTG000159,TRP0002022,DRV00001,RDR001950,rider,3.4,Review comment 159,4,4,4,2023-10-29T00:00:00Z
RTG000160,TRP0001532,DRV00298,RDR001032,rider,3.6,Review comment 160,2,4,1,2023-04-08T00:00:00Z
RTG000161,TRP0002374,DRV00042,RDR000653,driver,3.0,Review comment 161,2,1,2,2023-11-17T00:00:00Z
RTG000162,TRP0001349,DRV00297,RDR001580,driver,3.5,Review comment 162,4,1,4,2023-06-29T00:00:00Z
RTG000163,TRP0000392,DRV00265,RDR001834,driver,3.3,Review comment 163,4,4,4,2023-06-08T00:00:00Z
RTG000164,TRP0000246,DRV00109,RDR000331,rider,4.8,Review comment 164,5,4,4,2023-05-09T00:00:00Z
RTG000165,TRP0002995,DRV00192,RDR000135,rider,2.7,Review comment 165,1,4,2,2023-02-16T00:00:00Z
RTG000166,TRP0002392,DRV00296,RDR000288,driver,1.2,Review comment 166,3,4,5,2023-10-15T00:00:00Z
RTG000167,TRP0000576,DRV00194,RDR000954,driver,2.5,Review comment 167,4,1,2,2023-10-04T00:00:00Z
RTG000168,TRP0002576,DRV00029,RDR001175,rider,4.0,Review comment 168,3,1,5,2023-03-18T00:00:00Z
RTG000169,TRP0002273,DRV00205,RDR001034,driver,3.9,Review comment 169,2,4,3,2023-01-20T00:00:00Z
RTG000170,TRP0001549,DRV00137,RDR001527,driver,3.0,Review comment 170,1,5,5,2023-08-17T00:00:00Z
RTG000171,TRP0000138,DRV00077,RDR001184,driver,4.9,Review comment 171,5,1,4,2023-12-07T00:00:00Z
RTG000172,TRP0000096,DRV00291,RDR000960,driver,3.8,Review comment 172,1,2,4,2023-12-23T00:00:00Z
RTG000173,TRP0003745,DRV00027,RDR000505,driver,3.6,Review comment 173,4,5,3,2023-04-08T00:00:00Z
RTG000174,TRP0003602,DRV00176,RDR000701,rider,4.0,Review comment 174,3,1,1,2023-01-20T00:00:00Z
RTG000175,TRP0003191,DRV00004,RDR001753,driver,3.7,Review comment 175,4,3,5,2023-08-08T00:00:00Z
RTG000176,TRP0003049,DRV00171,RDR001906,rider,4.3,Review comment 176,4,3,3,2023-06-26T00:00:00Z
RTG000177,TRP0001080,DRV00117,RDR001368,rider,1.7,Review comment 177,2,4,1,2023-08-02T00:00:00Z
RTG000178,TRP0003141,DRV00224,RDR001014,driver,1.8,Review comment 178,3,4,2,2023-10-27T00:00:00Z
RTG000179,TRP0002771,DRV00157,RDR001576,driver,3.3,Review comment 179,2,2,1,2023-06-18T00:00:00Z
RTG000180,TRP0000532,DRV00276,RDR001513,driver,3.3,Review comment 180,4,1,4,2023-11-17T00:00:00Z
RTG000181,TRP0000145,DRV00229,RDR001436,driver,4.3,Review comment 181,5,1,5,2023-09-19T00:00:00Z
RTG000182,TRP0000568,DRV00036,RDR000853,driver,2.1,Review comment 182,1,5,3,2023-02-13T00:00:00Z
RTG000183,TRP0002880,DRV00281,RDR001708,rider,2.5,Review comment 183,3,4,2,2023-06-02T00:00:00Z
RTG000184,TRP0001742,DRV00154,RDR000752,rider,1.9,Review comment 184,2,3,3,2023-10-03T00:00:00Z
RTG000185,TRP0002840,DRV00030,RDR000810,driver,4.3,Review comment 185,5,3,2,2023-01-22T00:00:00Z
RTG000186,TRP0002075,DRV00236,RDR001395,driver,2.0,Review comment 186,4,4,4,2023-12-30T00:00:00Z
RTG000187,TRP0001214,DRV00121,RDR001702,driver,4.4,Review comment 187,1,3,3,2023-12-18T00:00:00Z
RTG000188,TRP0001937,DRV00144,RDR001106,rider,4.2,Review comment 188,5,5,4,2023-03-02T00:00:00Z
RTG000189,TRP0000922,DRV00196,RDR001367,rider,2.7,Review comment 189,3,4,1,2023-08-30T00:00:00Z
RTG000190,TRP0000507,DRV00102,RDR001598,rider,1.1,Review comment 190,5,1,2,2023-12-04T00:00:00Z
RTG000191,TRP0002680,DRV00211,RDR000509,driver,3.1,Review comment 191,2,4,2,2023-05-17T00:00:00Z
RTG000192,TRP0001273,DRV00286,RDR000930,rider,4.4,Review comment 192,5,3,2,2023-07-09T00:00:00Z
RTG000193,TRP0003700,DRV00125,RDR000343,rider,3.0,Review comment 193,4,1,1,2023-10-11T00:00:00Z
RTG000194,TRP0002087,DRV00047,RDR000248,rider,1.6,Review comment 194,2,1,4,2023-03-16T00:00:00Z
RTG000195,TRP0000949,DRV00087,RDR000398,driver,3.9,Review comment 195,2,2,5,2023-01-20T00:00:00Z
RTG000196,TRP0000088,DRV00247,RDR000750,rider,4.1,Review comment 196,5,3,5,2023-06-03T00:00:00Z
RTG000197,TRP0003792,DRV00093,RDR000973,rider,3.1,Review comment 197,4,3,5,2023-07-01T00:00:00Z
RTG000198,TRP0000126,DRV00104,RDR000631,rider,1.8,Review comment 198,4,4,1,2023-07-08T00:00:00Z
RTG000199,TRP0001879,DRV00062,RDR000472,driver,1.8,Review comment 199,3,1,3,2023-01-31T00:00:00Z
RTG000200,TRP0003879,DRV00160,RDR000372,rider,1.7,Review comment 200,5,3,4,2023-03-31T00:00:00Z
RTG000201,TRP0003049,DRV00171,RDR001906,rider,3.5,Review comment 201,5,3,4,2023-02-10T00:00:00Z
RTG000202,TRP0003149,DRV00217,RDR000610,rider,1.6,Review comment 202,5,2,2,2023-10-16T00:00:00Z
RTG000203,TRP0002056,DRV00093,RDR000702,driver,1.8,Review comment 203,4,2,1,2023-02-07T00:00:00Z
RTG000204,TRP0002095,DRV00209,RDR000270,rider,3.5,Review comment 204,1,5,3,2023-02-13T00:00:00Z
RTG000205,TRP0002880,DRV00281,RDR001708,driver,2.3,Review comment 205,2,1,5,2023-11-25T00:00:00Z
RTG000206,TRP0001962,DRV00267,RDR001395,rider,4.8,Review comment 206,1,3,5,2023-12-29T00:00:00Z
RTG000207,TRP0003381,DRV00249,RDR001899,driver,4.2,Review comment 207,5,1,5,2023-03-18T00:00:00Z
RTG000208,TRP0000219,DRV00154,RDR000616,driver,4.6,Review comment 208,2,5,2,2023-06-19T00:00:00Z
RTG000209,TRP0000166,DRV00233,RDR000831,driver,4.4,Review comment 209,5,5,2,2023-04-02T00:00:00Z
RTG000210,TRP0000262,DRV00192,RDR000501,driver,3.8,Review comment 210,3,3,4,2023-11-19T00:00:00Z
RTG000211,TRP0002288,DRV00103,RDR000624,driver,4.5,Review comment 211,1,3,4,2023-10-12T00:00:00Z
RTG000212,TRP0003487,DRV00159,RDR000941,driver,5.0,Review comment 212,1,3,1,2023-02-19T00:00:00Z
RTG000213,TRP0001489,DRV00105,RDR001139,rider,2.7,Review comment 213,4,5,3,2023-06-10T00:00:00Z
RTG000214,TRP0000816,DRV00113,RDR001818,rider,4.1,Review comment 214,5,1,1,2023-12-14T00:00:00Z
RTG000215,TRP0000554,DRV00241,RDR001764,driver,4.3,Review comment 215,3,5,5,2023-01-25T00:00:00Z
RTG000216,TRP0001844,DRV00262,RDR000989,rider,3.0,Review comment 216,4,4,2,2023-01-12T00:00:00Z
RTG000217,TRP0002367,DRV00300,RDR000283,rider,3.5,Review comment 217,2,2,5,2023-03-16T00:00:00Z
RTG000218,TRP0000496,DRV00182,RDR001942,rider,1.6,Review comment 218,3,2,2,2023-05-18T00:00:00Z
RTG000219,TRP0002810,DRV00077,RDR001906,driver,4.5,Review comment 219,4,1,5,2023-05-01T00:00:00Z
RTG000220,TRP0000513,DRV00007,RDR001014,rider,2.3,Review comment 220,1,4,4,2023-11-04T00:00:00Z
RTG000221,TRP0000381,DRV00088,RDR000681,driver,1.2,Review comment 221,3,1,5,2023-08-21T00:00:00Z
RTG000222,TRP0002851,DRV00255,RDR001191,driver,1.9,Review comment 222,1,2,4,2023-01-07T00:00:00Z
RTG000223,TRP0003624,DRV00124,RDR001148,driver,4.6,Review comment 223,1,3,5,2023-12-29T00:00:00Z
RTG000224,TRP0003942,DRV00068,RDR000827,driver,1.2,Review comment 224,2,4,5,2023-05-16T00:00:00Z
RTG000225,TRP0003183,DRV00273,RDR000138,driver,2.5,Review comment 225,4,4,4,2023-12-13T00:00:00Z
RTG000226,TRP0000880,DRV00205,RDR000219,rider,4.0,Review comment 226,1,2,1,2023-12-31T00:00:00Z
RTG000227,TRP0002498,DRV00121,RDR000770,rider,3.5,Review comment 227,2,2,2,2023-04-27T00:00:00Z
RTG000228,TRP0002397,DRV00229,RDR001491,driver,4.0,Review comment 228,5,1,1,2023-01-26T00:00:00Z
RTG000229,TRP0001444,DRV00277,RDR000448,rider,4.7,Review comment 229,4,4,1,2023-07-04T00:00:00Z
RTG000230,TRP0003405,DRV00273,RDR001846,driver,3.6,Review comment 230,2,4,5,2023-12-23T00:00:00Z
RTG000231,TRP0001338,DRV00020,RDR000791,driver,3.1,Review comment 231,1,1,1,2023-10-24T00:00:00Z
